# name                           ra                   dec                    
  HSC_galaxy_37494063766727749   37.03375285999875    -4.565702021821808     
  HSC_galaxy_37494334349657951   36.54066987459255    -4.909686268052321     
  HSC_galaxy_37494334349661215   36.712491726529436   -4.838768204371505     
  HSC_galaxy_37494458903713274   36.52861637117675    -5.342471365070578     
  HSC_galaxy_38553417450262879   36.27884045515644    -4.279560372311368     
  HSC_galaxy_38558369547554025   36.91526483604205    -4.116229403644245     
  HSC_galaxy_38558635835528406   36.553758726441345   -4.457304053272477     
  HSC_galaxy_38558640130518232   36.58274298330255    -4.258069320016267     
  HSC_galaxy_38558640130520842   36.562244721696416   -4.214529076973358     
  HSC_galaxy_38558644425476915   36.55758000501611    -4.146203332719161     
  HSC_galaxy_41623266799916660   353.06376597240126   -0.7035801804393578    
  HSC_galaxy_43158305291378895   150.54098129839934   1.5662298097155032     
  HSC_galaxy_43158451320260460   150.39551964786776   1.7971621827597244     
  HSC_galaxy_43158726198167856   149.9872102575853    1.8069838653856174     
  HSC_galaxy_43158734788131985   150.09604426306026   2.3134564651685627     
  HSC_galaxy_43159001076075211   149.65310698335273   1.8228164792619437     
  HSC_galaxy_43159009666028767   149.6315310153929    2.138886255478362      
  HSC_galaxy_43159138515047405   149.5047767117529    1.7947588377539228     
  HSC_galaxy_37484997090757807   34.34276423516816    -4.533836797604342     
  HSC_galaxy_37494201205654218   36.724773343754116   -4.7308285371993986    
  HSC_galaxy_70418222200925622   247.1375279591154    43.20291885716603      
  HSC_galaxy_38553417450287991   36.21065489344409    -4.197921942326767     
  HSC_galaxy_38553709508042381   35.9202884861664     -3.4655456857777827    
  HSC_galaxy_40690889529497821   39.03990449824286    -0.3017437216382921    
  HSC_galaxy_41179051217409999   203.43177221637245   -1.2615779899770878    
  HSC_galaxy_41200904011018355   211.10918443884592   -1.2848267607177233    
  HSC_galaxy_43153640956893135   149.44438466823027   1.8900164775950503     
  HSC_galaxy_43153786985802249   149.31469887150263   2.264287434140287      
  HSC_galaxy_43158331061198937   150.69587426949212   2.6158820256185744     
  HSC_galaxy_43158472795096811   150.4333885605196    2.7258502459998946     
  HSC_galaxy_37489107374466511   36.23024983787287    -4.96169323544904      
  HSC_galaxy_37494201205654150   36.73282273489662    -4.73217924240439      
  HSC_galaxy_37494321464746257   36.70740682354786    -5.30441371586059      
  HSC_galaxy_37494330054673189   36.64785724898895    -5.096171616354936     
  HSC_galaxy_38553421745235439   36.22090518394222    -4.102885613306702     
  HSC_galaxy_43699814768077118   332.90791335568525   1.5138242726579407     
  HSC_galaxy_43153640956890563   149.49487043032232   1.8341502683108142     
  HSC_galaxy_43153778395859629   149.37341229921802   1.7841427246337633     
  HSC_galaxy_43158197917213219   150.82415652271453   2.7862255781906002     
  HSC_galaxy_43158326766232866   150.65260394071188   2.430373107402723      
  HSC_galaxy_43158588759234124   150.22674754307036   1.8106045289275157     
  HSC_galaxy_43158855047191369   149.96060795649993   1.5461980466017065     
  HSC_galaxy_43159151399953153   149.52317957572205   2.4482836346033316     
  HSC_galaxy_37484700738001922   34.78595602652237    -5.3238796148173035    
  HSC_galaxy_37484979910876406   34.3524932118069     -5.127554145771489     
  HSC_galaxy_37489369367465147   35.967288567314405   -5.625726205727475     
  HSC_galaxy_37489386547337125   35.977637934428415   -4.859878210043056     
  HSC_galaxy_37494184025804180   36.774511907882676   -5.474033174178734     
  HSC_galaxy_37484979910877442   34.34356684501826    -5.18086044404316      
  HSC_galaxy_37489111669433552   36.33131408191731    -4.7440064446228964    
  HSC_galaxy_37489115964403577   36.287020243812286   -4.562801220385293     
  HSC_galaxy_37494184025805290   36.88532560720413    -5.451340129114772     
  HSC_galaxy_37494325759729867   36.653684787764725   -5.151489773624938     
  HSC_galaxy_38558635835529686   36.62967475307313    -4.433504748489934     
  HSC_galaxy_42692266980039970   352.69340470361084   0.71236426881231       
  HSC_galaxy_40092759498969060   196.93272362102758   -1.6411106809436267    
  HSC_galaxy_40092759498969061   196.93260567988526   -1.6412558053324353    
  HSC_galaxy_74648618958594216   215.10316663536776   53.13051509226745      
  HSC_galaxy_37484979910886351   34.39877916062324    -5.2839603006432565    
  HSC_galaxy_37489253403336366   36.109507400040215   -4.576453981081738     
  HSC_galaxy_38553550594273366   36.16039110159512    -4.402368531224711     
  HSC_galaxy_38558369547572239   37.06474537061824    -4.085967912831417     
  HSC_galaxy_38558502691557415   36.80858179820585    -4.3480132807864855    
  HSC_galaxy_37489240518450879   36.09494085570009    -5.185352615547616     
  HSC_galaxy_37494063766721897   36.9526227307261     -4.680096628371423     
  HSC_galaxy_37494205500641709   36.7645338314815     -4.518329461829869     
  HSC_galaxy_37494321464757554   36.62250490244089    -5.454529278556058     
  HSC_galaxy_38553421745250254   36.23192221630424    -4.100835822364151     
  HSC_galaxy_43153658136764337   149.43702527835177   2.6932302627585054     
  HSC_galaxy_43158322471260493   150.65023749847023   2.1973883713858466     
  HSC_galaxy_43158472795122726   150.3820202711487    2.799825234188584      
  HSC_galaxy_43158734788132147   150.065173469706     2.3140262008193053     
  HSC_galaxy_43158743378035039   149.98844895012166   2.513051309187362      
  HSC_galaxy_43159009666034172   149.7526419498359    2.238807739825342      
  HSC_galaxy_37488969935487552   36.38521277857886    -5.105954065071453     
  HSC_galaxy_37494192615737589   36.8076747309822     -5.112480604850044     
  HSC_galaxy_37494325759724611   36.58609050550269    -5.279637894858907     
  HSC_galaxy_38558365252590446   37.051809216182434   -4.237955053048726     
  HSC_galaxy_38558640130520469   36.686954357515305   -4.220913503695856     
